Cavity,Gradient,Q0,Calibration,Q0 Measurement,Calibration Cutoffs,Q0 Cutoffs
7,16.3,3.06e+10,2019-08-05 18:15:00 to 2019-08-06 00:02:00 (1s sample interval),2019-08-06 20:30:36 to 2019-08-06 21:11:13 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10 | 9 | 10,217 | 121
6,18.0,3.05e+10,2019-08-05 18:15:00 to 2019-08-06 00:02:00 (1s sample interval),2019-08-06 21:20:47 to 2019-08-06 22:02:15 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10 | 9 | 10,273 | 66
6,18.0,3.05e+10,2019-08-05 18:15:00 to 2019-08-06 00:02:00 (1s sample interval),2019-08-06 21:20:47 to 2019-08-06 22:02:15 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10 | 9 | 10,273 | 66
6,18.0,3.02e+10,2019-08-05 18:15:00 to 2019-08-06 00:02:00 (1s sample interval),2019-08-06 22:14:35 to 2019-08-06 22:55:25 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10 | 9 | 10,270 | 66
6,18.0,3.12e+10,2019-08-05 18:15:00 to 2019-08-06 00:02:00 (1s sample interval),2019-08-06 23:10:34 to 2019-08-06 23:49:17 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10 | 9 | 10,270 | 66
1,14.9,2.73e+10,2019-08-05 18:15:00 to 2019-08-06 00:02:00 (1s sample interval),2019-08-06 09:22:03 to 2019-08-06 10:12:56 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10 | 9 | 10,175 | 161
3,14.8,2.48e+10,2019-08-05 18:15:00 to 2019-08-06 00:02:00 (1s sample interval),2019-08-06 11:31:01 to 2019-08-06 12:21:22 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10 | 9 | 10,173 | 164
5,16.0,2.93e+10,2019-08-05 18:15:00 to 2019-08-06 00:02:00 (1s sample interval),2019-08-06 14:16:26 to 2019-08-06 14:56:32 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10 | 9 | 10,207 | 129
6,16.0,3.10e+10,2019-08-05 18:15:00 to 2019-08-06 00:02:00 (1s sample interval),2019-08-06 16:11:06 to 2019-08-06 16:57:14 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10 | 9 | 10,208 | 129
7,16.3,2.69e+10,2019-08-05 18:15:00 to 2019-08-06 00:02:00 (1s sample interval),2019-08-06 19:38:17 to 2019-08-06 20:17:36 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10 | 9 | 10,219 | 120
1,14.9,3.30e+10,2019-08-05 18:15:00 to 2019-08-06 00:02:00 (1s sample interval),2019-08-06 10:30:20 to 2019-08-06 11:17:30 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10 | 9 | 10,176 | 161
3,14.8,3.37e+10,2019-08-05 18:15:00 to 2019-08-06 00:02:00 (1s sample interval),2019-08-06 12:38:58 to 2019-08-06 13:41:29 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10 | 9 | 10,173 | 164
5,16.0,2.68e+10,2019-08-05 18:15:00 to 2019-08-06 00:02:00 (1s sample interval),2019-08-06 15:11:34 to 2019-08-06 15:56:28 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10 | 9 | 10,208 | 129
6,16.0,3.15e+10,2019-08-05 18:15:00 to 2019-08-06 00:02:00 (1s sample interval),2019-08-06 17:12:20 to 2019-08-06 17:54:41 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10 | 9 | 10,207 | 129
7,16.3,3.06e+10,2019-08-05 18:15:00 to 2019-08-06 00:02:00 (1s sample interval),2019-08-06 20:30:36 to 2019-08-06 21:11:13 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10 | 9 | 10,217 | 121
6,18.0,3.05e+10,2019-08-05 18:15:00 to 2019-08-06 00:02:00 (1s sample interval),2019-08-06 21:20:47 to 2019-08-06 22:02:15 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10 | 9 | 10,273 | 66
6,18.0,3.02e+10,2019-08-05 18:15:00 to 2019-08-06 00:02:00 (1s sample interval),2019-08-06 22:14:35 to 2019-08-06 22:55:25 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10 | 9 | 10,270 | 66
6,18.0,3.12e+10,2019-08-05 18:15:00 to 2019-08-06 00:02:00 (1s sample interval),2019-08-06 23:10:34 to 2019-08-06 23:49:17 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10 | 9 | 10,270 | 66
6,18.0,3.05e+10,2019-08-05 18:15:00 to 2019-08-06 00:02:00 (1s sample interval),2019-08-06 21:20:47 to 2019-08-06 22:02:15 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10 | 9 | 10,273 | 66
6,18.0,3.02e+10,2019-08-05 18:15:00 to 2019-08-06 00:02:00 (1s sample interval),2019-08-06 22:14:35 to 2019-08-06 22:55:25 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10 | 9 | 10,270 | 66
6,18.0,3.12e+10,2019-08-05 18:15:00 to 2019-08-06 00:02:00 (1s sample interval),2019-08-06 23:10:34 to 2019-08-06 23:49:17 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10 | 9 | 10,270 | 66
6,20.0,2.96e+10,2019-08-05 18:15:00 to 2019-08-06 00:02:00 (1s sample interval),2019-08-06 18:06:42 to 2019-08-06 18:43:16 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10 | 9 | 10,341 | 0
6,20.0,2.74e+10,2019-08-05 18:15:00 to 2019-08-06 00:02:00 (1s sample interval),2019-08-06 18:54:34 to 2019-08-06 19:27:45 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10 | 9 | 10,343 | 0
3,14.8,2.60e+10,2019-08-05 18:15:00 to 2019-08-06 00:02:00 (1s sample interval),2019-08-07 18:30:13 to 2019-08-07 19:19:53 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10 | 9 | 10,173 | 164
3,14.8,2.28e+10,2019-08-05 18:15:00 to 2019-08-06 00:02:00 (1s sample interval),2019-08-07 20:24:45 to 2019-08-07 21:10:59 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10 | 9 | 10,173 | 164
3,14.8,2.64e+10,2019-08-05 18:15:00 to 2019-08-06 00:02:00 (1s sample interval),2019-08-07 21:48:00 to 2019-08-07 22:35:36 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10 | 9 | 10,173 | 164
3,14.8,2.58e+10,2019-08-05 18:15:00 to 2019-08-06 00:02:00 (1s sample interval),2019-08-07 22:48:57 to 2019-08-07 23:32:56 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10 | 9 | 10,173 | 164
3,14.8,2.60e+10,2019-08-05 18:15:00 to 2019-08-06 00:02:00 (1s sample interval),2019-08-07 18:30:13 to 2019-08-07 19:19:53 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10 | 9 | 10,173 | 164
3,14.8,2.28e+10,2019-08-05 18:15:00 to 2019-08-06 00:02:00 (1s sample interval),2019-08-07 20:24:45 to 2019-08-07 21:10:59 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10 | 9 | 10,173 | 164
3,14.8,2.64e+10,2019-08-05 18:15:00 to 2019-08-06 00:02:00 (1s sample interval),2019-08-07 21:48:00 to 2019-08-07 22:35:36 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10 | 9 | 10,173 | 164
3,14.8,2.58e+10,2019-08-05 18:15:00 to 2019-08-06 00:02:00 (1s sample interval),2019-08-07 22:48:57 to 2019-08-07 23:32:56 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10 | 9 | 10,173 | 164
2,14.5,2.18e+10,2019-08-05 18:15:00 to 2019-08-06 00:02:00 (1s sample interval),2019-08-08 17:31:52 to 2019-08-08 18:21:04 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10 | 9 | 10,165 | 173
2,14.5,2.45e+10,2019-08-05 18:15:00 to 2019-08-06 00:02:00 (1s sample interval),2019-08-08 18:43:25 to 2019-08-08 19:38:26 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10 | 9 | 10,165 | 172
2,14.5,2.00e+10,2019-08-05 18:15:00 to 2019-08-06 00:02:00 (1s sample interval),2019-08-08 19:55:12 to 2019-08-08 20:43:03 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10 | 9 | 10,165 | 172
2,14.5,2.35e+10,2019-08-05 18:15:00 to 2019-08-06 00:02:00 (1s sample interval),2019-08-08 20:59:16 to 2019-08-08 21:49:44 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10 | 9 | 10,165 | 172
2,14.5,2.44e+10,2019-08-05 18:15:00 to 2019-08-06 00:02:00 (1s sample interval),2019-08-08 22:08:35 to 2019-08-08 23:02:37 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10 | 9 | 10,165 | 172
2,14.5,1.94e+10,2019-08-05 18:15:00 to 2019-08-06 00:02:00 (1s sample interval),2019-08-08 23:14:09 to 2019-08-09 00:02:26 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10 | 9 | 10,165 | 173
2,14.5,2.18e+10,2019-08-05 18:15:00 to 2019-08-06 00:02:00 (1s sample interval),2019-08-08 17:31:52 to 2019-08-08 18:21:04 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10 | 9 | 10,165 | 173
2,14.5,2.45e+10,2019-08-05 18:15:00 to 2019-08-06 00:02:00 (1s sample interval),2019-08-08 18:43:25 to 2019-08-08 19:38:26 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10 | 9 | 10,165 | 172
2,14.5,2.00e+10,2019-08-05 18:15:00 to 2019-08-06 00:02:00 (1s sample interval),2019-08-08 19:55:12 to 2019-08-08 20:43:03 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10 | 9 | 10,165 | 172
2,14.5,2.35e+10,2019-08-05 18:15:00 to 2019-08-06 00:02:00 (1s sample interval),2019-08-08 20:59:16 to 2019-08-08 21:49:44 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10 | 9 | 10,165 | 172
2,14.5,2.44e+10,2019-08-05 18:15:00 to 2019-08-06 00:02:00 (1s sample interval),2019-08-08 22:08:35 to 2019-08-08 23:02:37 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10 | 9 | 10,165 | 172
2,14.5,1.94e+10,2019-08-05 18:15:00 to 2019-08-06 00:02:00 (1s sample interval),2019-08-08 23:14:09 to 2019-08-09 00:02:26 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10 | 9 | 10,165 | 173
1,14.9,3.37e+10,2019-08-05 18:15:00 to 2019-08-06 00:02:00 (1s sample interval),2019-08-15 16:58:32 to 2019-08-15 17:58:17 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10 | 9 | 10,176 | 161
2,14.6,2.52e+10,2019-08-05 18:15:00 to 2019-08-06 00:02:00 (1s sample interval),2019-08-15 18:12:45 to 2019-08-15 19:13:17 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10 | 9 | 10,167 | 170
3,18.3,2.93e+10,2019-08-05 18:15:00 to 2019-08-06 00:02:00 (1s sample interval),2019-08-15 19:27:13 to 2019-08-15 20:09:35 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10 | 9 | 10,281 | 55
4,20.0,2.51e+10,2019-08-05 18:15:00 to 2019-08-06 00:02:00 (1s sample interval),2019-08-15 20:21:52 to 2019-08-15 21:03:59 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10 | 9 | 10,342 | 0
5,21.0,2.68e+10,2019-08-05 18:15:00 to 2019-08-06 00:02:00 (1s sample interval),2019-08-15 21:16:09 to 2019-08-15 21:50:57 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10 | 9 | 10,381 | 0
6,21.0,2.66e+10,2019-08-05 18:15:00 to 2019-08-06 00:02:00 (1s sample interval),2019-08-15 22:04:36 to 2019-08-15 22:38:42 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10 | 9 | 10,379 | 0
7,15.3,2.88e+10,2019-08-05 18:15:00 to 2019-08-06 00:02:00 (1s sample interval),2019-08-15 22:49:28 to 2019-08-15 23:37:24 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10 | 9 | 10,188 | 150
1,14.9,3.37e+10,2019-08-05 18:15:00 to 2019-08-06 00:02:00 (1s sample interval),2019-08-15 16:58:32 to 2019-08-15 17:58:17 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10 | 9 | 10,176 | 161
2,14.6,2.52e+10,2019-08-05 18:15:00 to 2019-08-06 00:02:00 (1s sample interval),2019-08-15 18:12:45 to 2019-08-15 19:13:17 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10 | 9 | 10,167 | 170
3,18.3,2.93e+10,2019-08-05 18:15:00 to 2019-08-06 00:02:00 (1s sample interval),2019-08-15 19:27:13 to 2019-08-15 20:09:35 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10 | 9 | 10,281 | 55
4,20.0,2.51e+10,2019-08-05 18:15:00 to 2019-08-06 00:02:00 (1s sample interval),2019-08-15 20:21:52 to 2019-08-15 21:03:59 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10 | 9 | 10,342 | 0
5,21.0,2.68e+10,2019-08-05 18:15:00 to 2019-08-06 00:02:00 (1s sample interval),2019-08-15 21:16:09 to 2019-08-15 21:50:57 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10 | 9 | 10,381 | 0
6,21.0,2.66e+10,2019-08-05 18:15:00 to 2019-08-06 00:02:00 (1s sample interval),2019-08-15 22:04:36 to 2019-08-15 22:38:42 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10 | 9 | 10,379 | 0
7,15.3,2.88e+10,2019-08-05 18:15:00 to 2019-08-06 00:02:00 (1s sample interval),2019-08-15 22:49:28 to 2019-08-15 23:37:24 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10 | 9 | 10,188 | 150
8,17.0,2.71e+10,2019-08-05 18:15:00 to 2019-08-06 00:02:00 (1s sample interval),2019-08-16 09:23:52 to 2019-08-16 10:10:15 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10 | 9 | 10,238 | 99
